country_name;country_code;continent;PLEES_00_1950;P_00_1950;LE_00_1950;E_00_1950;S_00_1950;PLEES_00_2010;P_00_2010;LE_00_2010;E_00_2010;S_00_2010;PLEES_45_2080;P_45_2080;LE_45_2080;E_45_2080;S_45_2080;PLEES_85_2080;P_85_2080;LE_85_2080;E_85_2080;S_85_2080
Canada;CAN;America;NaN;NaN;NaN;NaN;NaN;3.7042649954504494;NaN;NaN;NaN;NaN;3.807343018199913;0.9932857142857143;0.977389758054612;0.9257676991197624;0.9108998467398242;3.6747687434133622;0.9932857142857143;0.9617131285992088;0.9162876046712296;0.8034822958572095
Chad;TCD;Africa;NaN;NaN;NaN;NaN;NaN;2.4036272678635338;NaN;NaN;NaN;NaN;2.378477024540408;0.11787500000000001;0.9476893971910954;0.7887062254811824;0.5242064018681302;2.194832352655532;0.138;0.9350571924926228;0.614410325353548;0.5073648348093612
Chile;CHL;America;NaN;NaN;NaN;NaN;NaN;3.620042441978356;NaN;NaN;NaN;NaN;3.4762384478786412;0.7884038461538461;0.9822616398531152;0.9335362323827786;0.7720367294889012;3.1726495070396066;0.7217781690140844;0.9722899958086316;0.931647971169848;0.5469333710470428
Colombia;COL;America;NaN;NaN;NaN;NaN;NaN;3.356398815760813;NaN;NaN;NaN;NaN;3.2181430400413893;0.6859;0.99580844504313;0.8353827121869474;0.7010518828113124;2.8859346331759514;0.5792044444444444;0.994189386873893;0.7543005707568284;0.5582402311007854
Costa Rica;CRI;America;NaN;NaN;NaN;NaN;NaN;3.561296156346394;NaN;NaN;NaN;NaN;3.4511883578567994;0.8808;0.9936781445508912;0.8729481485810218;0.7037620647248866;3.182723702223205;0.82208;0.9924156112770176;0.8192057839054321;0.5490223070407552
Cyprus;CYP;Asia;NaN;NaN;NaN;NaN;NaN;3.723677740872962;NaN;NaN;NaN;NaN;3.502789370922911;0.9985555555555555;0.9831292843510612;0.8357707810673709;0.6853337499489234;3.162066782244444;0.9247986111111111;0.9724526086770864;0.8083341146901702;0.4564814477660764
Czech Republic;CZE;Europe;NaN;NaN;NaN;NaN;NaN;3.7292699613131344;NaN;NaN;NaN;NaN;3.6313906878596613;0.8844444444444444;0.9387077446107412;0.9406613784231698;0.8675771203813062;3.251734964570593;0.796;0.8934360460227054;0.9376140623856932;0.6246848561621949
Cote d'Ivoire;CIV;Africa;NaN;NaN;NaN;NaN;NaN;2.6491470059851614;NaN;NaN;NaN;NaN;2.644197815780508;0.15758139534883714;0.951490190695712;0.8276897859135557;0.7074364438224033;2.361303292889579;0.14837956204379557;0.9477341682970988;0.6528095182019381;0.6123800443467468
Denmark;DNK;Europe;NaN;NaN;NaN;NaN;NaN;3.803824249592549;NaN;NaN;NaN;NaN;3.666481916628281;0.943578947368421;0.9866824570135948;0.9328504177274776;0.8033700945187874;3.3001473283544493;0.8537142857142856;0.9767582005791452;0.9323393499651388;0.5373354920958795
Djibouti;DJI;Africa;NaN;NaN;NaN;NaN;NaN;1.814979358415925;NaN;NaN;NaN;NaN;1.8202761159645584;0.26402222222222216;0.9295171278191774;0.0;0.6267367659231589;1.6304953952934358;0.2514497354497354;0.9157949496633933;0.0;0.4632507101803071
