,country_name,country_code,continent,P_00_1975,P_00_2010,P_45_2080,P_85_2080,LE_00_1975,LE_00_2010,LE_45_2080,LE_85_2080,E_00_1975,E_00_2010,E_45_2080,E_85_2080,S_00_1975,S_00_2010,S_45_2080,S_85_2080,PLEES_00_1975,PLEES_00_2010,PLEES_45_2080,PLEES_85_2080
23,Panama,PAN,America,0.5970427415996159,0.6025221936544104,0.4360368563303631,0.4259911942299064,0.999871425752778,0.998913823650436,0.9938767310858124,0.9925103445257918,0.9393599957906328,0.9361544516009056,0.933646710868417,0.929059626514472,0.7549440261202579,0.8056997319401807,0.7961178894035568,0.6464812447077366,3.291218189263285,3.343290200845933,3.159678187688149,2.994042409977907
24,Costa Rica,CRI,America,0.5911060462789339,0.5993252243611257,0.4236917934025986,0.4163858573295393,0.9998970903373234,0.998894608896714,0.99361528412188,0.9923409370074764,0.9462999988684548,0.8983935054069779,0.8980930495617494,0.8973990649126363,0.7635046094394147,0.785278632120747,0.7037620647248866,0.5490223070407552,3.3008077449241267,3.2818919707855647,3.0191621918111147,2.855148166290407
25,Nicaragua,NIC,America,0.5414044612052712,0.5395779771870064,0.3843092473979074,0.377003311324848,0.9998742975643822,0.9984669551817192,0.991751029394446,0.9896099967857126,0.929660000474695,0.950312560402676,0.9494991591005516,0.9479820027309758,0.7106634124947483,0.6330620718260122,0.666231056370233,0.5538869384298362,3.181602171739097,3.1214195645974137,2.991790492263138,2.8684822492713726
26,Honduras,HND,America,0.4898975236078957,0.4871577975804984,0.3440863313791989,0.3395201213335368,0.9998381491515594,0.9987596993355496,0.9919920080773338,0.9880917995339032,0.9542000006520897,0.9349034228867616,0.934238438245405,0.9329460308833792,0.717032500359764,0.7223505036932588,0.6613827054873046,0.5333818164837641,3.160968173771309,3.1431714234960686,2.9316994831892425,2.7939397682345835
27,El Salvador,SLV,America,0.5152070813502557,0.5270792274689773,0.374558826732067,0.3864309728507884,0.9999015487885556,0.9990824551563392,0.9951724025403778,0.9928059217596216,0.9246999978602432,0.957529457568383,0.9567264152737556,0.9551053647403352,0.7695147089537534,0.7758329064997054,0.6601306752221598,0.4859259588419838,3.2093233369528082,3.259524046693405,2.9865883197683605,2.820268218192729
28,Guatemala,GTM,America,0.5044353419561215,0.5016956159287242,0.3568955183475614,0.3523293083018993,0.9987822891212708,0.992874698872214,0.96975192363751,0.9564582996282482,0.9734400009368448,0.9730111301498242,0.9727280377819904,0.972151876651046,0.748568724798368,0.7316794830627887,0.6612000167215608,0.539159693571422,3.2252263568126054,3.199260928013551,2.960575496488622,2.8200991781526152
29,Belize,BLZ,America,,,,,0.9995694827814232,0.9986317613426864,0.991433577679622,0.9862564669995536,0.9027000041251954,0.91547407843607,0.9147919220100028,0.9136542750402404,0.7188320791048477,0.7451384433923288,0.6524524689592718,0.5057246493087286,,,,
30,"Venezuela, RB",VEN,America,,,,,0.9998937569650522,0.9992690078356632,0.9964428826488216,0.9952421860246672,0.9054999922074942,0.9376340368077692,0.9364136762458836,0.9341862069510888,,0.7863303149548172,0.6961079273454922,0.5844398158560712,,,,
31,Guyana,GUY,America,,,,,0.9995114885941362,0.9904494693372784,0.958553991727662,0.9469877685211784,0.8804599501501474,0.8627393125610713,0.8614024028179601,0.858924400963638,0.7334799526404997,0.6573418913457164,0.6216009187126518,0.520997502233728,,,,
32,Suriname,SUR,America,,,,,0.99992760650157,0.9982244337847008,0.9915227097776323,0.989624354553797,0.8290499525842427,0.9196007416394104,0.917873329560895,0.9148549926162416,0.759977486019127,0.7312307855339051,0.7264410065056017,0.5906947665267948,,,,
33,France,FRA,Europe,0.7486194317527995,0.7467929477345346,0.5600834560990989,0.553690762035172,0.998255910095004,0.9904840357458398,0.966824216711356,0.9483298885058288,0.9086999424009724,0.907272073503576,0.9072492972147344,0.9071818985171012,0.830279131432581,0.8803592540660833,0.7641011380363522,0.5335941437435123,3.4858544156813567,3.5249083110500337,3.1982581080615415,2.942796692801614
34,Ecuador,ECU,America,0.619327595439533,0.619327595439533,0.4598584726464501,0.4571187466190529,0.9997813663446642,0.9977663917992828,0.9894975032134866,0.9860057762381628,0.9556099977279736,0.9600214960614486,0.9596532942140324,0.95885533288865,0.7934658140531932,0.8096713848780893,0.6990129652968593,0.5225128626092058,3.368184773565364,3.3867868681783535,3.1080222353708287,2.9244927183550713
35,Jamaica,JAM,America,,,,,0.9999758471035208,0.9990644277389308,0.9962604147182276,0.9957272439516786,0.9281199979657052,0.9241132663329696,0.9230465402556433,0.9209522125172488,0.741872162334704,0.7225725121961966,0.6154717989753944,0.4857914241529571,,,,
36,Zimbabwe,ZWE,Africa,0.3421367202515776,0.3238718800689292,0.1701322328831785,0.1445614566274707,0.99778039308433,0.9971597896970488,0.9813177378043888,0.9713620985275356,0.950029997787293,0.9375515517858176,0.9373710072952286,0.936889441240163,0.7192307332752577,0.5345576509029052,0.5597122438370487,0.3909797178760046,3.009177844398458,2.7931408724547007,2.6485332218198447,2.443792714271174
37,Botswana,BWA,Africa,0.3931874100550888,0.3858814739820294,0.2111052421469451,0.1910139179460318,0.9951712858462166,0.9876540843290053,0.9429180156653588,0.920849320440098,0.8618000016494574,0.8037577166182827,0.803547936365803,0.8029790326292515,0.6890221246762382,0.8214873383570437,0.7133843253688316,0.5365620327668454,2.939180822227001,2.998780613286361,2.6709555195469386,2.451404303782227
38,Namibia,NAM,Africa,0.3996937665754017,0.3960407985388721,0.2250948889095124,0.2013505966720695,0.9957793126085868,0.9895439368880736,0.9462059554860318,0.9245405166026984,0.8086000039728405,0.7973550429013149,0.7972527481123806,0.7969709482839753,,0.7571067287946566,0.6597809615533953,0.452681719619482,,2.940046507122917,2.62833455406132,2.375543781178225
39,Senegal,SEN,Africa,0.1227078288128429,0.1455388790411534,0.0304132370060055,0.046851593170389,0.998398005367789,0.990171565729078,0.9382044612929306,0.913362878084989,0.943920000148498,0.9349127623713092,0.9215110034816736,0.8994747303900598,0.5669660713446546,0.5021324671322818,0.5796020830812526,0.5435211808810092,2.631991905673784,2.5727556742738225,2.4697307848618624,2.4032103825264466
40,Mali,MLI,Africa,,,,,0.998769483853536,0.9876185431415264,0.9507475357755,0.9357345465677412,0.987879999788772,0.9816920793489672,0.9807439578073112,0.9791007455009424,0.3665281412275725,0.2939133607861414,0.4336388385818526,0.4671132267920981,,,,
41,Mauritania,MRT,Africa,0.1567774293968042,0.1908870184379001,0.0444535410212345,0.0892023994687231,0.9987776634599776,0.9928020383053996,0.9714766269537776,0.9589525407486008,0.8982400035237116,0.8938070789960122,0.8910520925308232,0.8866359368158108,0.5810123464062849,0.502441490208062,0.5676917532785165,0.4346689827130071,2.6348074427867783,2.5799376259473736,2.4746740137843517,2.369459859746142
42,Benin,BEN,Africa,0.1998376867300415,0.216276042894425,0.1139144779198428,0.1203071719837697,0.9967117608837008,0.9888732758991892,0.9581729984516828,0.9563666399683256,0.9851599996663712,0.9770428833789944,0.9698539239162668,0.9570608204866746,0.4904857803177657,0.4322064979603379,0.5084576509285472,0.5422859751188687,2.672195227597879,2.6143987001329463,2.5503990512163393,2.5760206075576386
